Date,Value
1/1/2017,15.91304348
1/2/2017,0
1/3/2017,0
1/4/2017,18.7
1/5/2017,18.38888889
1/6/2017,19.31818182
1/7/2017,0
1/8/2017,15.68421053
1/9/2017,14.57142857
1/10/2017,12.11111111
1/11/2017,11
1/12/2017,0
1/13/2017,13.23529412
1/14/2017,13.2
1/15/2017,0
1/16/2017,14.65
1/17/2017,11.72222222
1/18/2017,13.04166667
1/19/2017,14.61904762
1/20/2017,15.26315789
1/21/2017,15.39130435
1/22/2017,18.44
1/23/2017,18.11764706
1/24/2017,18.34782609
1/25/2017,21
1/26/2017,16.17857143
1/27/2017,16.5
1/28/2017,14.86363636
1/29/2017,15.66666667
1/30/2017,16.44444444
1/31/2017,16.125
2/1/2017,15.25
2/2/2017,17.09090909
2/3/2017,15.63636364
2/4/2017,18.7
2/5/2017,18.63157895
2/6/2017,16.88888889
2/7/2017,15.125
2/8/2017,15.7
2/9/2017,15.375
2/10/2017,14.66666667
2/11/2017,15.625
2/12/2017,16.25
2/13/2017,16.33333333
2/14/2017,16.875
2/15/2017,17.57142857
2/16/2017,20.25
2/17/2017,21.3
2/18/2017,21.125
2/19/2017,22.36363636
2/20/2017,23.375
2/21/2017,21.83333333
2/22/2017,19.125
2/23/2017,18.625
2/24/2017,19.125
2/25/2017,19
2/26/2017,18.75
2/27/2017,19.875
2/28/2017,23.33333333
3/1/2017,24.46153846
3/2/2017,23.75
3/3/2017,20.5
3/4/2017,19.125
3/5/2017,19.75
3/6/2017,20
3/7/2017,22.625
3/8/2017,21.54545455
3/9/2017,20.78571429
3/10/2017,19.9375
3/11/2017,18.53333333
3/12/2017,17.375
3/13/2017,17.44444444
3/14/2017,18
3/15/2017,19.875
3/16/2017,24
3/17/2017,20.9
3/18/2017,24.69230769
3/19/2017,0
3/20/2017,23.33333333
3/21/2017,25
3/22/2017,27.25
3/23/2017,28
3/24/2017,28.91666667
3/25/2017,0
3/26/2017,29.1
3/27/2017,29.5
3/28/2017,29.88888889
3/29/2017,31
3/30/2017,29.28571429
3/31/2017,30.625
4/1/2017,31.375
4/2/2017,29.75
4/3/2017,30.5
4/4/2017,30.93333333
4/5/2017,29.23076923
4/6/2017,31.22222222
4/7/2017,27
4/8/2017,25.625
4/9/2017,27.125
4/10/2017,27.85714286
4/11/2017,29.25
4/12/2017,0
4/13/2017,29.66666667
4/14/2017,30.5
4/15/2017,31.22222222
4/16/2017,31
4/17/2017,32.55555556
4/18/2017,0
4/19/2017,33.5
4/20/2017,34.5
4/21/2017,34.25
4/22/2017,32.9
4/23/2017,32.875
4/24/2017,32
